         208936 function calls (208434 primitive calls) in 58.987 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 mmalobj.py:1480(<lambda>)
     1001    0.002    0.000    0.002    0.000 mmalobj.py:1481(<lambda>)
       26    0.000    0.000    0.000    0.000 mmalobj.py:1483(<lambda>)
     1500    0.009    0.000    0.009    0.000 mmalobj.py:1521(__init__)
      500    0.006    0.000    0.006    0.000 mmalobj.py:1705(release)
      500    0.002    0.000    0.002    0.000 mmalobj.py:1760(__init__)
      500    0.007    0.000    0.007    0.000 mmalobj.py:1775(__len__)
     1000    0.015    0.000    0.021    0.000 mmalobj.py:1778(get)
      500    0.009    0.000    0.011    0.000 mmalobj.py:1824(__init__)
      500    0.001    0.000    0.001    0.000 mmalobj.py:1842(close)
     1000    0.004    0.000    0.025    0.000 mmalobj.py:1865(get_buffer)
     1000    0.007    0.000    0.157    0.000 mmalobj.py:1872(send_buffer)
      500    0.009    0.000    0.076    0.000 mmalobj.py:1884(send_all_buffers)
      500    0.044    0.000    0.054    0.000 mmalobj.py:1902(__init__)
      500    0.018    0.000    0.019    0.000 mmalobj.py:1912(close)
     1000    0.013    0.000    0.170    0.000 mmalobj.py:1923(send_buffer)
      500    0.004    0.000    0.081    0.000 mmalobj.py:1933(send_all_buffers)
      502    0.018    0.000    0.857    0.002 mmalobj.py:1963(__init__)
      502    0.003    0.000    0.003    0.000 mmalobj.py:1991(close)
      502    0.043    0.000    0.827    0.002 mmalobj.py:1999(_negotiate_format)
      502    0.006    0.000    0.358    0.001 mmalobj.py:2001(copy_format)
      502    0.012    0.000    0.025    0.000 mmalobj.py:2006(max_buffers)
      502    0.004    0.000    0.004    0.000 mmalobj.py:2019(<listcomp>)
      502    0.239    0.000    1.100    0.002 mmalobj.py:2135(__init__)
      502    0.318    0.001    0.321    0.001 mmalobj.py:2156(close)
      504    0.332    0.001    0.333    0.001 mmalobj.py:2171(enable)
        2    0.005    0.002    0.005    0.002 mmalobj.py:2216(disable)
        1    0.000    0.000    0.003    0.003 mmalobj.py:2277(__init__)
        1    0.000    0.000    0.001    0.001 mmalobj.py:2345(__init__)
        1    0.000    0.000    0.000    0.000 mmalobj.py:2365(_get_info_rev)
      502    0.010    0.000    0.893    0.002 mmalobj.py:2395(__init__)
      502    0.008    0.000    0.249    0.000 mmalobj.py:2399(close)
